성별,연령대별,CLASS1,카드이용건수계순위,카드이용금액계순위
F,50대,의류/잡화,9,11
F,50대,자동차,13,12
F,50대,전자상거래,3,1
F,50대,주유,7,10
F,60대,가전/가구,13,7
F,60대,가정생활/서비스,5,4
F,60대,교육/학원,14,13
F,60대,미용,10,11
F,60대,스포츠/문화/레저,9,10
F,60대,여행/교통,11,14
F,60대,요식/유흥,2,6
F,60대,유통,1,1
F,60대,음/식료품,3,5
F,60대,의료,4,2
F,60대,의류/잡화,8,9
F,60대,자동차,12,12
F,60대,전자상거래,6,3
F,60대,주유,7,8
F,70대이상,가전/가구,11,8
F,70대이상,가정생활/서비스,5,6
F,70대이상,교육/학원,14,13
F,70대이상,미용,10,12
F,70대이상,스포츠/문화/레저,9,11
F,70대이상,여행/교통,12,14
F,70대이상,요식/유흥,4,4
F,70대이상,유통,1,1
F,70대이상,음/식료품,3,3
F,70대이상,의료,2,2
F,70대이상,의류/잡화,8,9
F,70대이상,자동차,13,7
F,70대이상,전자상거래,6,5
F,70대이상,주유,7,10
M,10대,가전/가구,13,12
M,10대,가정생활/서비스,5,5
M,10대,교육/학원,9,8
M,10대,미용,10,11
M,10대,스포츠/문화/레저,3,4
M,10대,여행/교통,8,9
M,10대,요식/유흥,2,2
M,10대,유통,1,3
M,10대,음/식료품,6,10
M,10대,의료,7,7
M,10대,의류/잡화,11,6
M,10대,자동차,14,14
M,10대,전자상거래,4,1
M,10대,주유,12,13
M,20대,가전/가구,13,13
M,20대,가정생활/서비스,5,4
M,20대,교육/학원,14,14
M,20대,미용,10,12
M,20대,스포츠/문화/레저,4,5
M,20대,여행/교통,6,7
M,20대,요식/유흥,2,2
M,20대,유통,1,3
M,20대,음/식료품,7,9
M,20대,의료,8,6
M,20대,의류/잡화,11,10
M,20대,자동차,12,11
M,20대,전자상거래,3,1
M,20대,주유,9,8
M,30대,가전/가구,13,6
M,30대,가정생활/서비스,4,4
M,30대,교육/학원,14,13
M,30대,미용,12,14
M,30대,스포츠/문화/레저,8,9
M,30대,여행/교통,9,12
M,30대,요식/유흥,2,3
M,30대,유통,1,2
M,30대,음/식료품,6,10
M,30대,의료,7,5
M,30대,의류/잡화,11,11
M,30대,자동차,10,8
M,30대,전자상거래,3,1
M,30대,주유,5,7
M,40대,가전/가구,14,8
M,40대,가정생활/서비스,4,4
M,40대,교육/학원,11,6
M,40대,미용,13,14
M,40대,스포츠/문화/레저,8,9
M,40대,여행/교통,9,13
M,40대,요식/유흥,2,3
M,40대,유통,1,2
M,40대,음/식료품,5,10
M,40대,의료,6,5
M,40대,의류/잡화,12,12
M,40대,자동차,10,11
M,40대,전자상거래,3,1
M,40대,주유,7,7
M,50대,가전/가구,14,11
M,50대,가정생활/서비스,3,3
M,50대,교육/학원,13,9
M,50대,미용,11,14
M,50대,스포츠/문화/레저,8,10
M,50대,여행/교통,10,13
M,50대,요식/유흥,2,2
M,50대,유통,1,1
M,50대,음/식료품,7,8
M,50대,의료,6,5
M,50대,의류/잡화,12,12
M,50대,자동차,9,7
M,50대,전자상거래,4,4
M,50대,주유,5,6
M,60대,가전/가구,13,10
M,60대,가정생활/서비스,6,5
M,60대,교육/학원,14,13
M,60대,미용,11,14
M,60대,스포츠/문화/레저,8,9
M,60대,여행/교통,10,11
M,60대,요식/유흥,2,4
M,60대,유통,1,1
M,60대,음/식료품,5,8
M,60대,의료,4,3
M,60대,의류/잡화,12,12
M,60대,자동차,9,6
M,60대,전자상거래,7,7
M,60대,주유,3,2
M,70대이상,가전/가구,13,10
M,70대이상,가정생활/서비스,6,5
M,70대이상,교육/학원,14,12
M,70대이상,미용,12,14
M,70대이상,스포츠/문화/레저,8,9
M,70대이상,여행/교통,11,13
M,70대이상,요식/유흥,2,4
M,70대이상,유통,1,2
M,70대이상,음/식료품,5,6
M,70대이상,의료,3,1
M,70대이상,의류/잡화,10,11
M,70대이상,자동차,9,7
M,70대이상,전자상거래,7,8
M,70대이상,주유,4,3
